,Sample,Study,ERBB2,EGFR
12032,TCGA-MQ-A6BL-01,TCGA,11.63,12.09
12033,TCGA-DK-A2HX-01,TCGA,15.03,12.4
12034,GTEX-Y8LW-0002-SM-4V6G2,GTEX,7.976,3.706
12035,TCGA-QR-A70N-01,TCGA,8.689,12.42
12036,TCGA-CZ-5469-11,TCGA,14.15,12.73
12037,TCGA-A8-A07I-01,TCGA,17.57,9.541
12038,GTEX-NPJ8-0011-R1a-SM-5SI8B,GTEX,9.828,10.52
12039,GTEX-YEC4-1826-SM-4W1YP,GTEX,13.07,13.4
12040,GTEX-XUJ4-0005-SM-4BOQ6,GTEX,8.448,4.543
12041,TCGA-77-A5G8-01,TCGA,12.06,14.0
12042,TCGA-A3-3362-01,TCGA,12.39,12.79
12043,TCGA-CG-5733-11,TCGA,12.96,10.87
12044,GTEX-TKQ2-1326-SM-4DXT9,GTEX,13.18,11.52
12045,TCGA-A2-A0EY-01,TCGA,17.51,8.148
12046,TCGA-CZ-5461-01,TCGA,11.65,13.43
12047,GTEX-YFC4-1526-SM-5IFJS,GTEX,10.2,12.18
12048,TCGA-EL-A3N2-01,TCGA,13.62,12.33
12049,GTEX-145MO-1326-SM-5Q5EF,GTEX,10.98,12.31
12050,GTEX-WYVS-1426-SM-4ONCV,GTEX,12.62,13.12
12051,GTEX-14E6E-1526-SM-5RQIG,GTEX,13.46,11.8
12052,GTEX-139UW-0426-SM-5K7V4,GTEX,12.17,12.09
12053,TCGA-DD-AADP-01,TCGA,11.37,13.31
12054,GTEX-11OF3-3026-SM-5GU52,GTEX,11.93,10.11
12055,GTEX-ZTX8-1326-SM-4YCEL,GTEX,14.12,14.49
12056,TCGA-DX-AB32-01,TCGA,9.231,10.53
12057,GTEX-RN64-0326-SM-2TC5J,GTEX,11.01,10.47
12058,TCGA-5G-A9ZZ-01,TCGA,13.86,11.75
12059,TCGA-KL-8330-01,TCGA,13.37,11.79
12060,GTEX-Y111-0926-SM-4SOIU,GTEX,11.19,11.59
12061,TCGA-AB-2869-03,TCGA,8.811,0.0
12062,TCGA-DA-A95V-06,TCGA,11.58,5.294
12063,TCGA-AC-A3QQ-01,TCGA,17.61,10.92
12064,TCGA-BP-4782-01,TCGA,12.5,14.3
12065,TCGA-BH-A0B1-01,TCGA,13.22,9.835
12066,GTEX-OXRK-1626-SM-3NB17,GTEX,11.78,11.24
12067,GTEX-W5WG-1426-SM-4KKZP,GTEX,12.65,11.53
